% Model:              trial.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 7 2021, 17:19
% Dimension:          3
% Nodes:              2000
% Expressions:        1
% Description:        浓度
% Length unit:        nm
% X                       Y                        Z                        c (mol/m^3)
0                         0                        9.999999999999998        NaN
0.30209                   -0.32975999999999994     9.989999999999998        1.7049836534806383E22
-0.6298799999999999       0.055279                 9.979999999999999        1.2122710885801749E22
0.61441                   0.47106                  9.969999999999999        9.815489933100701E21
-0.15568                  -0.88009                 9.96                     8.490489578447569E21
-0.53619                  0.84291                  9.95                     7.634468501080441E21
1.0566                    -0.28402999999999995     9.94                     6.864588532288848E21
-1.0485                   -0.54453                 9.93                     6.380101032592363E21
0.4331499999999999        1.1861                   9.92                     5.963591470668428E21
0.51089                   -1.2377                  9.91                     5.674853670329593E21
-1.278                    0.59806                  9.899899999999999        5.337994970238475E21
1.4116999999999997        0.4428                   9.889899999999999        5.102386504284413E21
-0.7746399999999999       -1.3367                  9.879899999999997        4.873707872019135E21
-0.34517999999999993      1.5701                   9.869899999999998        4.6956109520679663E21
1.3644                    -0.95924                 9.859899999999998        4.4525688367836315E21
-1.7117                   -0.22181                 9.849899999999998        4.400103554280535E21
1.1485                    1.3626999999999998       9.839899999999998        4.2100525133765815E21
0.075881                  -1.8349                  9.829899999999999        4.0793367251908984E21
-1.3327                   1.3392                   9.8199                   3.971750388928369E21
1.9384999999999997        -0.089637                9.8099                   3.8723947512218486E21
-1.5282                   -1.2752999999999999      9.7999                   3.7265527994592343E21
0.27191                   2.0209                   9.7899                   3.6331845124268475E21
1.1917                    -1.7127999999999999      9.7799                   3.5366911406375845E21
-2.0808999999999997       0.46813999999999995      9.7699                   3.4990792531320064E21
1.8898999999999997        1.083                    9.7599                   3.4025354094708995E21
-0.67553                  -2.1174999999999997      9.7499                   3.337780186678202E21
-0.9504299999999999       2.0571                   9.7399                   3.317706557456432E21
2.1296                    -0.89127                 9.7299                   3.195815029646852E21
-2.2117                   -0.79549                 9.7199                   3.1747155700240687E21
1.1124999999999998        2.1167999999999996       9.7099                   3.065718331158957E21
0.6198                    -2.3513                  9.699799999999998        3.0230954115925813E21
-2.0786                   1.3365                   9.689799999999998        2.964154855675977E21
2.4739                    0.4251499999999999       9.679799999999998        2.9439725034465945E21
-1.5604                   -2.0147999999999997      9.6698                   2.875311568542408E21
-0.21352                  2.5772                   9.6598                   2.8666944775013846E21
1.9255999999999998        -1.7813                  9.6498                   2.796118644799311E21
-2.6595999999999997       0.012974999999999999     9.6398                   2.770230024674156E21
1.9965999999999997        1.8112                   9.6298                   2.7172765931257206E21
-0.25204                  -2.7195                  9.6198                   2.65842516813032E21
-1.6722999999999997       2.2034                   9.6098                   2.6443508973678017E21
2.7555                    -0.5012799999999998      9.5998                   2.602407143179905E21
-2.3992                   -1.5098                  9.5898                   2.5761688029637603E21
0.7581499999999999        2.7664                   9.5798                   2.573357250796718E21
1.3247999999999998        -2.5815                  9.5698                   2.502369024739375E21
-2.7513999999999994       1.0199999999999998       9.5598                   2.479532318348579E21
2.7478                    1.1185999999999998       9.5498                   2.4465424759402356E21
-1.2842999999999998       -2.7099                  9.5398                   2.423790709785785E21
-0.8928499999999999       2.8959                   9.5298                   2.3955940909209124E21
2.6415                    -1.5480999999999998      9.5198                   2.357251441386397E21
-3.0237                   -0.64931                 9.5098                   2.3385533104810072E21
1.8087                    2.5462                   9.4997                   2.3245403698334935E21
0.39                      -3.1293                  9.4897                   2.3046497687695183E21
-2.4241999999999995       2.0633999999999997       9.4797                   2.2723466125150155E21
3.211                     0.1171                   9.4697                   2.2596876075880617E21
-2.3094999999999994       -2.2759                  9.4597                   2.2173147216281162E21
0.16705999999999996       3.2672                   9.4497                   2.2228267328494426E21
2.1020999999999996        -2.5442                  9.4397                   2.1825418186243055E21
-3.2968                   0.45996                  9.4297                   2.1718321643526236E21
2.7649                    1.9037999999999997       9.4197                   2.1361319405926728E21
-0.7590199999999999       -3.2986999999999997      9.4097                   2.142500689842491E21
-1.6822                   2.9691                   9.3997                   2.0972819656613052E21
3.2721                    -1.0614999999999999      9.3897                   2.0813975040082478E21
-3.1544999999999996       -1.4388                  9.3797                   2.066580954852457E21
1.3646999999999998        3.2165999999999997       9.3697                   2.0477608130162598E21
1.1755                    -3.3188                  9.3597                   2.0317664933085609E21
-3.132                    1.6656                   9.3497                   2.049673979089695E21
3.4599999999999995        0.8940099999999999       9.3397                   2.0242611921097854E21
-1.9615999999999998       -3.0182                  9.3297                   2.019583460220065E21
-0.59663                  3.576                    9.3197                   1.9833135897071138E21
2.8757                    -2.2496                  9.3097                   1.9348217524216052E21
-3.6653999999999995       -0.28567                 9.2996                   1.9289880764900945E21
2.527                     2.7049999999999996       9.2896                   1.9260679361479888E21
-0.036358999999999995     -3.7264999999999997      9.2796                   1.8971596210812517E21
-2.5069999999999997       2.7907999999999995       9.2696                   1.8973581366218392E21
3.7582999999999998        -0.3668199999999999      9.2596                   1.8848328874593228E21
-3.0385999999999997       -2.2829                  9.2496                   1.8701863735973983E21
0.7029299999999999        3.7597                   9.2396                   1.846898452771569E21
2.0339999999999994        -3.2674999999999996      9.2296                   1.8409674697471505E21
-3.7301                   1.0417999999999998       9.2196                   1.8243396469602119E21
3.4753999999999996        1.7621                   9.2096                   1.8204928122957243E21
-1.3806                   -3.669                   9.1996                   1.82309979268773E21
-1.469                    3.6596999999999995       9.1896                   1.787798305025372E21
3.5761999999999996        -1.7162999999999997      9.1796                   1.7857418762174128E21
