% Model:              trial.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 7 2021, 17:17
% Dimension:          3
% Nodes:              2000
% Expressions:        1
% Description:        浓度
% Length unit:        nm
% X                       Y                        Z                        c (mol/m^3)
0                         0                        59.89999999999999        NaN
1.8095                    -1.9752999999999998      59.84                    1.82006480546907E20
-3.7729999999999997       0.33112                  59.78                    1.225953450948525E20
3.6803                    2.8216                   59.72                    9.7504952286458E19
-0.9324999999999999       -5.271799999999999       59.66                    8.277844636230395E19
-3.2118                   5.049                    59.599999999999994       7.297508336749725E19
6.3288                    -1.7012999999999998      59.53999999999999        6.572957065344134E19
-6.2803                   -3.2617999999999996      59.48                    6.01655533185291E19
2.5946                    7.104599999999999        59.42099999999999        5.570161174988744E19
3.0602                    -7.4135                  59.36099999999999        5.205726723016871E19
-7.6553                   3.5823999999999994       59.300999999999995       4.89731087056934E19
8.4561                    2.6523999999999996       59.24099999999999        4.627698886548438E19
-4.6401                   -8.0067                  59.18099999999999        4.39893693059257E19
-2.0676                   9.4049                   59.120999999999995       4.199167010621542E19
8.1729                    -5.7458                  59.06099999999999        4.0152596022211854E19
-10.253                   -1.3286                  59.00099999999999        3.856392459385799E19
6.8794                    8.1626                   58.940999999999995       3.710986405801712E19
0.4545199999999999        -10.991                  58.88099999999999        3.576261289967514E19
-7.9826                   8.0217                   58.82099999999999        3.4604112345100337E19
11.611999999999998        -0.5369299999999999      58.760999999999996       3.3470381680005014E19
-9.1542                   -7.639099999999999       58.701                   3.247497229036608E19
1.6287                    12.105                   58.641                   3.150992248710582E19
7.138299999999999         -10.26                   58.581999999999994       3.064082914463221E19
-12.465                   2.8041                   58.52199999999999        2.9848071254838694E19
11.321                    6.487099999999999        58.461999999999996       2.9074543295644647E19
-4.0464                   -12.683999999999997      58.401999999999994       2.835142390942022E19
-5.6931                   12.321999999999997       58.34199999999999        2.7692808511134605E19
12.756999999999998        -5.338699999999999       58.28199999999999        2.7065749167862776E19
-13.248                   -4.765                   58.221999999999994       2.647077585271374E19
6.6640999999999995        12.679999999999998       58.16199999999999        2.5905438141794742E19
3.7125999999999997        -14.084                  58.10199999999999        2.536158158202758E19
-12.451                   8.0058                   58.041999999999994       2.487290909857624E19
14.818                    2.5467                   57.98199999999999        2.4377125092011385E19
-9.3467                   -12.069                  57.922                   2.392904117307818E19
-1.279                    15.438                   57.862                   2.349325196052417E19
11.533999999999999        -10.67                   57.802                   2.305283888454828E19
-15.930999999999997       0.077718                 57.742999999999995       2.2670379506855682E19
11.958999999999998        10.848999999999998       57.68299999999999        2.2280665451677557E19
-1.5096999999999998       -16.289999999999996      57.62299999999999        2.1919878503620526E19
-10.016999999999998       13.198                   57.562999999999995       2.1570022149912318E19
16.505                    -3.0026                  57.50299999999999        2.1216572074779763E19
-14.371                   -9.0437                  57.44299999999999        2.0915736031571714E19
4.541299999999999         16.571                   57.382999999999996       2.0584871519667528E19
7.935499999999999         -15.463                  57.32299999999999        2.0273719782036267E19
-16.481                   6.11                     57.26299999999999        1.999077133488079E19
16.459                    6.7004                   57.202999999999996       1.9710650970380222E19
-7.692699999999999        -16.231999999999996      57.143                   1.943541500725028E19
-5.348099999999999        17.347                   57.083                   1.916946678308315E19
15.823                    -9.272999999999998       57.023                   1.8913573223980667E19
-18.112                   -3.8893999999999997      56.963                   1.8675398908196397E19
10.833999999999998        15.252                   56.903999999999996       1.843833431340993E19
2.3361                    -18.745                  56.843999999999994       1.8198652808235643E19
-14.520999999999999       12.359999999999998       56.78399999999999        1.798477772196212E19
19.233999999999998        0.70141                  56.72399999999999        1.7762897382603817E19
-13.833999999999998       -13.633                  56.663999999999994       1.755102177196616E19
1.0007                    19.571                   56.60399999999999        1.735312571643909E19
12.592                    -15.24                   56.54399999999999        1.7138129579001723E19
-19.748                   2.7552                   56.483999999999995       1.6962595547916366E19
16.562                    11.404                   56.424                   1.6773230109787E19
-4.5465                   -19.759                  56.364                   1.6584887570111408E19
-10.075999999999999       17.784999999999997       56.304                   1.6412144732360602E19
19.6                      -6.358499999999999       56.244                   1.6230153965472264E19
-18.896                   -8.6187                  56.184                   1.607178403298234E19
8.174299999999999         19.267999999999997       56.124                   1.5903137693463489E19
7.041                     -19.88                   56.064                   1.573228898807069E19
-18.761                   9.9771                   56.004999999999995       1.5583120111545418E19
20.724999999999998        5.355099999999999        55.94499999999999        1.5425838637804294E19
-11.75                    -18.079                  55.88499999999999        1.5275520878621657E19
-3.5738                   21.42                    55.824999999999996       1.5127615460756402E19
